jackpot,revenue,tickets
40,24.89,12.45
310.5,99.78,49.89
267,64.16,32.08
235,57.25,28.63
208,50.68,25.34
185,40.53,20.26
167,38.17,19.09
149,32.49,16.25
133,34.56,17.28
120,30.74,15.37
110,31.54,15.77
100,28.63,14.31
90,27.13,13.57
80,23.74,11.87
70,25.44,12.72
60,22.23,11.12
50,23.69,11.84
40,21.06,10.53
110,31.90,15.95
100,28.07,14.04
90,26.36,13.18
80,22.47,11.23
70,24.06,12.03
60,21.24,10.62
50,23.14,11.57
40,20.57,10.28
70,24.47,12.24
60,21.98,10.99
50,23.50,11.75
40,20.86,10.43
80,26.74,13.37
70,23.54,11.77
60,25.20,12.60
50,22.39,11.20
40,25.09,12.55
188,39.86,19.93
171,39.17,19.59
154,33.08,16.54
138,35.17,17.58
121,30.60,15.30
110,31.49,15.75
100,27.90,13.95
90,27.58,13.79
80,24.32,12.16
70,26.58,13.29
60,22.57,11.28
50,24.64,12.32
40,21.68,10.84
50,25.25,12.63
40,22.47,11.24
80,28.79,14.39
70,25.55,12.77
60,28.03,14.01
50,24.50,12.25
40,25.74,12.87
40,22.96,11.48
50,26.74,13.37
40,24.37,12.19
137,39.20,19.60
119,34.58,17.29
100,35.46,17.73
90,30.14,15.07
80,29.97,14.98
70,26.70,13.35
60,27.76,13.88
50,24.75,12.38
40,29.01,14.51
564.1,379.05,189.53
394.9,146.27,73.13
317,96.76,48.38
289,73.29,36.64
261,57.97,28.99
230,55.41,27.71
208,47.47,23.74
194,42.99,21.50
176,36.24,18.12
162,36.40,18.20
146,32.10,16.05
131,32.02,16.01
120,35.14,17.57
110,28.09,14.05
100,33.88,16.94
90,26.83,13.41
80,23.33,11.66
70,25.46,12.73
60,21.94,10.97
50,23.83,11.91
40,21.19,10.59
90,25.57,12.79
80,25.60,12.80
70,26.23,13.12
60,22.62,11.31
50,25.23,12.61
40,22.62,11.31
203,47.86,23.93
178,40.19,20.09
159,38.31,19.16
142,33.64,16.82
125,34.32,17.16
110,30.43,15.21
100,31.63,15.82
90,24.94,12.47
80,26.69,13.35
70,23.75,11.88
60,25.90,12.95
50,23.15,11.58
40,25.30,12.65
225,60.07,30.04
196,50.51,25.25
171,42.07,21.04
149,39.89,19.94
127,34.95,17.48
110,34.93,17.46
100,30.71,15.36
90,28.85,14.42
80,24.39,12.19
70,25.31,12.66
60,21.94,10.97
50,24.14,12.07
40,21.21,10.60
90,28.54,14.27
80,25.47,12.74
70,27.37,13.69
60,22.94,11.47
50,24.93,12.47
40,21.83,10.91
60,26.68,13.34
50,23.62,11.81
40,25.47,12.74
122,35.14,17.57
101,33.48,16.74
90,28.41,14.20
80,28.65,14.33
70,25.56,12.78
60,27.01,13.51
50,23.88,11.94
40,27.14,13.57
257,65.29,32.64
221,57.25,28.63
192,46.71,23.35
173,43.31,21.65
152,35.18,17.59
132,35.86,17.93
114,30.03,15.01
100,31.31,15.65
90,25.48,12.74
80,27.63,13.82
70,24.69,12.34
60,26.94,13.47
50,23.11,11.56
40,26.02,13.01
148.8,36.75,18.37
128,37.39,18.70
110,33.10,16.55
94,31.99,15.99
80,28.00,14.00
70,29.88,14.94
60,26.45,13.23
50,27.57,13.79
40,24.25,12.12
96,32.06,16.03
80,29.63,14.82
70,30.54,15.27
60,26.46,13.23
50,28.81,14.41
40,25.59,12.79
60,30.75,15.37
50,26.01,13.00
40,28.08,14.04
425,183.03,91.52
330,84.50,42.25
284,67.25,33.62
247,61.67,30.83
215,49.51,24.76
194,49.06,24.53
171,38.26,19.13
152,39.40,19.70
131,32.71,16.36
113,35.70,17.85
93,29.45,14.73
80,29.62,14.81
70,25.76,12.88
60,27.75,13.87
50,25.12,12.56
40,26.30,13.15
74,27.29,13.64
60,28.99,14.49
50,33.40,16.70
40,35.03,17.51
122,36.82,18.41
100,35.89,17.94
81,29.44,14.72
70,28.69,14.35
60,28.18,14.09
50,29.18,14.59
40,25.93,12.97
130,40.25,20.12
110,34.68,17.34
87,33.85,16.93
70,29.78,14.89
60,32.43,16.21
50,27.83,13.92
40,31.80,15.90
216,58.51,29.25
186,52.09,26.04
156,45.36,22.68
133,44.78,22.39
108,39.05,19.53
86,36.75,18.37
70,31.93,15.97
60,33.92,16.96
50,30.24,15.12
40,32.30,16.15
400,182.77,91.39
317,101.38,50.69
245,73.69,36.84
203,66.74,33.37
169,50.16,25.08
142,52.15,26.07
116,43.16,21.58
92,40.50,20.25
70,34.27,17.14
60,36.15,18.07
50,31.38,15.69
40,32.45,16.22
425,271.01,135.50
300,118.18,59.09
235,82.01,41.01
196,63.37,31.68
166,49.40,24.70
141,47.75,23.87
116,39.69,19.85
94,37.31,18.66
80,31.44,15.72
70,31.73,15.86
60,29.85,14.93
50,31.81,15.90
40,27.70,13.85
127,45.48,22.74
105,39.21,19.60
85,38.31,19.16
70,32.86,16.43
60,36.56,18.28
50,31.36,15.68
40,34.47,17.23
40,29.40,14.70
50,36.49,18.25
40,32.92,16.46
590.5,464.54,232.27
350,180.27,90.14
270,93.63,46.81
222,77.91,38.96
191,64.23,32.12
165,53.20,26.60
140,51.35,25.67
116,44.28,22.14
95,40.58,20.29
80,35.34,17.67
70,38.36,19.18
