pair_id,mu_A,sigma_A,R_A,mu_B,sigma_B,R_B,d_mu,d_sigma,d_R,menu_type,subtype,pair_distance,pair_distance_metric,coordinate_distance,triad_id,triad_pair,menu_source,experiment_id,target_model,u_A,u_B,delta_u,completeness,prob_A,prob_B,label_a,label_b,cue_suffix,delta_z,position_bias,position_corrected_pair_complete
0,10.0,30,1000.0,2.0,10,104.0,8.0,20,896.0,estimation,indifference,21.540659228538015,mu_sigma,21.540659228538015,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.25174331665039,17.876554489135742,0.37518882751464844,0.9283356293841596,0.5502358388920086,0.3780997904921511,A,B,Your choice is Option ,0.06238555908203125,0.3128032684326172,True
0,2.0,10,104.0,10.0,30,1000.0,-8.0,-20,-896.0,mirror,indifference,21.540659228538015,mu_sigma,21.540659228538015,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.626432418823242,18.376014709472656,0.25041770935058594,0.9235888546287507,0.5193149045711881,0.40427395005756256,A,B,Your choice is Option ,-0.06238555908203125,0.3128032684326172,True
1,10.0,30,1000.0,2.0,11,125.0,8.0,19,875.0,estimation,indifference,20.615528128088304,mu_sigma,20.615528128088304,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.127342224121094,17.501766204833984,0.6255760192871094,0.9259278694236599,0.603228731402613,0.32269913802104694,A,B,Your choice is Option ,0.3126544952392578,0.31292152404785156,True
1,2.0,11,125.0,10.0,30,1000.0,-8.0,-19,-875.0,mirror,indifference,20.615528128088304,mu_sigma,20.615528128088304,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.251441955566406,18.251174926757812,0.00026702880859375,0.9131987721888692,0.4566603486891091,0.45653842349976015,A,B,Your choice is Option ,-0.3126544952392578,0.31292152404785156,True
2,10.0,30,1000.0,2.0,12,148.0,8.0,18,852.0,estimation,indifference,19.697715603592208,mu_sigma,19.697715603592208,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.12700080871582,17.501697540283203,0.6253032684326172,0.9202898779076846,0.5994986660981286,0.32079121180955594,A,B,Your choice is Option ,0.3124675750732422,0.312835693359375,True
2,2.0,12,148.0,10.0,30,1000.0,-8.0,-18,-852.0,mirror,indifference,19.697715603592208,mu_sigma,19.697715603592208,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.12666130065918,18.126293182373047,0.0003681182861328125,0.9010692471840386,0.45061754860782294,0.45045169857621564,A,B,Your choice is Option ,-0.3124675750732422,0.312835693359375,True
3,10.0,30,1000.0,2.0,13,173.0,8.0,17,827.0,estimation,indifference,18.788294228055936,mu_sigma,18.788294228055936,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.12729263305664,17.626657485961914,0.5006351470947266,0.9327644012944678,0.5807471207760038,0.3520172805184641,A,B,Your choice is Option ,0.25021934509277344,0.2504158020019531,True
3,2.0,13,173.0,10.0,30,1000.0,-8.0,-17,-827.0,mirror,indifference,18.788294228055936,mu_sigma,18.788294228055936,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.376251220703125,18.376054763793945,0.0001964569091796875,0.9054918370246489,0.4527903910440787,0.45270144598057016,A,B,Your choice is Option ,-0.25021934509277344,0.2504158020019531,True
4,10.0,30,1000.0,2.0,14,200.0,8.0,16,800.0,estimation,indifference,17.88854381999832,mu_sigma,17.88854381999832,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.002519607543945,17.62696647644043,0.3755531311035156,0.9202792591538935,0.5455416608653774,0.3747375982885162,A,B,Your choice is Option ,0.25010013580322266,0.12545299530029297,True
4,2.0,14,200.0,10.0,30,1000.0,-8.0,-16,-800.0,mirror,indifference,17.88854381999832,mu_sigma,17.88854381999832,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.12665367126465,18.251300811767578,-0.12464714050292969,0.8946909077492535,0.4195013296916151,0.4751895780576385,A,B,Your choice is Option ,-0.25010013580322266,0.12545299530029297,True
5,10.0,30,1000.0,2.0,15,229.0,8.0,15,771.0,estimation,indifference,17.0,mu_sigma,17.0,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.127046585083008,17.87665557861328,0.25039100646972656,0.9302560456776112,0.5230576143685596,0.40719843130905164,A,B,Your choice is Option ,0.18761920928955078,0.06277179718017578,True
5,2.0,15,229.0,10.0,30,1000.0,-8.0,-15,-771.0,mirror,indifference,17.0,mu_sigma,17.0,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.25129508972168,18.376142501831055,-0.124847412109375,0.9001851418135765,0.4220325624217452,0.4781525793918313,A,B,Your choice is Option ,-0.18761920928955078,0.06277179718017578,True
6,10.0,30,1000.0,2.0,16,260.0,8.0,14,740.0,estimation,indifference,16.1245154965971,mu_sigma,16.1245154965971,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.127450942993164,17.75175666809082,0.37569427490234375,0.9278542851011433,0.5500637491903806,0.3777905359107627,A,B,Your choice is Option ,0.31269168853759766,0.0630025863647461,True
6,2.0,16,260.0,10.0,30,1000.0,-8.0,-14,-740.0,mirror,indifference,16.1245154965971,mu_sigma,16.1245154965971,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.126707077026367,18.37639617919922,-0.24968910217285156,0.8945180241911708,0.39170946349634883,0.5028085606948219,A,B,Your choice is Option ,-0.31269168853759766,0.0630025863647461,True
7,10.0,30,1000.0,2.0,17,293.0,8.0,13,707.0,estimation,indifference,15.264337522473747,mu_sigma,15.264337522473747,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.127138137817383,17.62674331665039,0.5003948211669922,0.9207350285542615,0.5732055358405206,0.3475294927137409,A,B,Your choice is Option ,0.37500476837158203,0.12539005279541016,True
7,2.0,17,293.0,10.0,30,1000.0,-8.0,-13,-707.0,mirror,indifference,15.264337522473747,mu_sigma,15.264337522473747,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.251441955566406,18.501056671142578,-0.24961471557617188,0.894250331351895,0.3916086144020228,0.5026417169498723,A,B,Your choice is Option ,-0.37500476837158203,0.12539005279541016,True
8,10.0,30,1000.0,2.0,18,328.0,8.0,12,672.0,estimation,indifference,14.422205101855956,mu_sigma,14.422205101855956,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.126907348632812,17.501726150512695,0.6251811981201172,0.9167619992676873,0.5971751103929994,0.3195868888746879,A,B,Your choice is Option ,0.43744564056396484,0.18773555755615234,True
8,2.0,18,328.0,10.0,30,1000.0,-8.0,-12,-672.0,mirror,indifference,14.422205101855956,mu_sigma,14.422205101855956,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.126483917236328,18.37619400024414,-0.2497100830078125,0.8872423197139947,0.3885188503595472,0.49872346935444756,A,B,Your choice is Option ,-0.43744564056396484,0.18773555755615234,True
9,10.0,30,1000.0,2.0,19,365.0,8.0,11,635.0,estimation,indifference,13.601470508735444,mu_sigma,13.601470508735444,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.127225875854492,17.502046585083008,0.6251792907714844,0.9224490877524116,0.6008792576219536,0.321569830130458,A,B,Your choice is Option ,0.43750572204589844,0.18767356872558594,True
9,2.0,19,365.0,10.0,30,1000.0,-8.0,-11,-635.0,mirror,indifference,13.601470508735444,mu_sigma,13.601470508735444,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.25129508972168,18.501127243041992,-0.2498321533203125,0.8831850339082258,0.3867156491282461,0.4964693847799797,A,B,Your choice is Option ,-0.43750572204589844,0.18767356872558594,True
10,10.0,30,1000.0,2.0,20,404.0,8.0,10,596.0,estimation,indifference,12.806248474865697,mu_sigma,12.806248474865697,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.00248908996582,17.626659393310547,0.37582969665527344,0.9213628439025621,0.5462455183167004,0.3751173255858616,A,B,Your choice is Option ,0.37532997131347656,0.000499725341796875,True
10,2.0,20,404.0,10.0,30,1000.0,-8.0,-10,-596.0,mirror,indifference,12.806248474865697,mu_sigma,12.806248474865697,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.12628936767578,18.50111961364746,-0.3748302459716797,0.8668312577066462,0.35312484747568484,0.5137064102309613,A,B,Your choice is Option ,-0.37532997131347656,0.000499725341796875,True
11,10.0,30,1000.0,2.0,21,445.0,8.0,9,555.0,estimation,indifference,12.041594578792296,mu_sigma,12.041594578792296,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.252506256103516,17.751667022705078,0.5008392333984375,0.9372203258474348,0.5835663595809926,0.35365396626644213,A,B,Your choice is Option ,0.5002632141113281,0.000576019287109375,True
11,2.0,21,445.0,10.0,30,1000.0,-8.0,-9,-555.0,mirror,indifference,12.041594578792296,mu_sigma,12.041594578792296,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.126352310180664,18.626039505004883,-0.49968719482421875,0.8795172363326327,0.33211818174476765,0.5473990545878651,A,B,Your choice is Option ,-0.5002632141113281,0.000576019287109375,True
12,10.0,30,1000.0,2.0,22,488.0,8.0,8,512.0,estimation,indifference,11.313708498984761,mu_sigma,11.313708498984761,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.127370834350586,17.75169563293457,0.3756752014160156,0.9312283501487194,0.5520597229542833,0.3791686271944361,A,B,Your choice is Option ,0.43773937225341797,-0.062064170837402344,True
12,2.0,22,488.0,10.0,30,1000.0,-8.0,-8,-512.0,mirror,indifference,11.313708498984761,mu_sigma,11.313708498984761,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.251232147216797,18.751035690307617,-0.4998035430908203,0.8882465482989035,0.3353902055469719,0.5528563427519316,A,B,Your choice is Option ,-0.43773937225341797,-0.062064170837402344,True
13,10.0,30,1000.0,2.0,23,533.0,8.0,7,467.0,estimation,indifference,10.63014581273465,mu_sigma,10.63014581273465,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.12741470336914,17.502038955688477,0.6253757476806641,0.9282170388212738,0.6046778831971631,0.3235391556241107,A,B,Your choice is Option ,0.6250457763671875,0.0003299713134765625,True
13,2.0,23,533.0,10.0,30,1000.0,-8.0,-7,-467.0,mirror,indifference,10.63014581273465,mu_sigma,10.63014581273465,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.251184463500977,18.875900268554688,-0.6247158050537109,0.8725392595758626,0.3042628828744496,0.5682763767014131,A,B,Your choice is Option ,-0.6250457763671875,0.0003299713134765625,True
14,10.0,30,1000.0,2.0,24,580.0,8.0,6,420.0,estimation,indifference,10.0,mu_sigma,10.0,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.002302169799805,17.50189971923828,0.5004024505615234,0.915227539440145,0.5697784776495388,0.3454490617906062,A,B,Your choice is Option ,0.6250171661376953,-0.12461471557617188,True
14,2.0,24,580.0,10.0,30,1000.0,-8.0,-6,-420.0,mirror,indifference,10.0,mu_sigma,10.0,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.001441955566406,18.751073837280273,-0.7496318817138672,0.8621044494255958,0.2766506258455056,0.5854538235800902,A,B,Your choice is Option ,-0.6250171661376953,-0.12461471557617188,True
15,10.0,30,1000.0,2.0,25,629.0,8.0,5,371.0,estimation,indifference,9.433981132056603,mu_sigma,9.433981132056603,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.002710342407227,17.501842498779297,0.5008678436279297,0.9172510993708183,0.5711385560955676,0.3461125432752507,A,B,Your choice is Option ,0.5003890991210938,0.0004787445068359375,True
15,2.0,25,629.0,10.0,30,1000.0,-8.0,-5,-371.0,mirror,indifference,9.433981132056603,mu_sigma,9.433981132056603,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.12623405456543,18.626144409179688,-0.4999103546142578,0.880211716164564,0.33233426362713425,0.5478774525374297,A,B,Your choice is Option ,-0.5003890991210938,0.0004787445068359375,True
16,10.0,30,1000.0,2.0,26,680.0,8.0,4,320.0,estimation,indifference,8.94427190999916,mu_sigma,8.94427190999916,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.25242042541504,17.87662696838379,0.37579345703125,0.9350295687846663,0.5543398878388089,0.3806896809458573,A,B,Your choice is Option ,0.562617301940918,-0.18682384490966797,True
16,2.0,26,680.0,10.0,30,1000.0,-8.0,-4,-320.0,mirror,indifference,8.94427190999916,mu_sigma,8.94427190999916,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.376445770263672,19.125886917114258,-0.7494411468505859,0.8808973412647149,0.28271790967450505,0.5981794315902098,A,B,Your choice is Option ,-0.562617301940918,-0.18682384490966797,True
17,10.0,30,1000.0,2.0,27,733.0,8.0,3,267.0,estimation,indifference,8.54400374531753,mu_sigma,8.54400374531753,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.1275577545166,17.751646041870117,0.3759117126464844,0.92348905212178,0.5475243586278319,0.37596469349394807,A,B,Your choice is Option ,0.562744140625,-0.18683242797851562,True
17,2.0,27,733.0,10.0,30,1000.0,-8.0,-3,-267.0,mirror,indifference,8.54400374531753,mu_sigma,8.54400374531753,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.25127410888672,19.000850677490234,-0.7495765686035156,0.8547794999013679,0.27431034207736926,0.5804691578239987,A,B,Your choice is Option ,-0.562744140625,-0.18683242797851562,True
18,10.0,30,1000.0,2.0,28,788.0,8.0,2,212.0,estimation,indifference,8.246211251235321,mu_sigma,8.246211251235321,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.127532958984375,17.75172996520996,0.37580299377441406,0.9190262380330345,0.5448542985438104,0.37417193948922406,A,B,Your choice is Option ,0.6251096725463867,-0.24930667877197266,True
18,2.0,28,788.0,10.0,30,1000.0,-8.0,-2,-212.0,mirror,indifference,8.246211251235321,mu_sigma,8.246211251235321,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.126556396484375,19.000972747802734,-0.8744163513183594,0.8627584984857162,0.25394104315583665,0.6088174553298795,A,B,Your choice is Option ,-0.6251096725463867,-0.24930667877197266,True
19,10.0,30,1000.0,2.0,29,845.0,8.0,1,155.0,estimation,indifference,8.06225774829855,mu_sigma,8.06225774829855,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.25277328491211,17.751768112182617,0.5010051727294922,0.9265685058838602,0.5769700589133473,0.34959844697051295,A,B,Your choice is Option ,0.750244140625,-0.2492389678955078,True
19,2.0,29,845.0,10.0,30,1000.0,-8.0,-1,-155.0,mirror,indifference,8.06225774829855,mu_sigma,8.06225774829855,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.25128936767578,19.25077247619629,-0.9994831085205078,0.8791255225589027,0.23652262118788225,0.6426029013710205,A,B,Your choice is Option ,-0.750244140625,-0.2492389678955078,True
20,10.0,30,1000.0,2.0,30,904.0,8.0,0,96.0,estimation,indifference,8.0,mu_sigma,8.0,,,indifference_curve_menus.json,indifference_curve,meta-llama/Llama-3.1-8B-Instruct,18.004140853881836,17.377775192260742,0.6263656616210938,0.8831942070465075,0.5755466919532428,0.30764751509326477,A,B,Your choice is Option ,0.8754758834838867,-0.24911022186279297,True
